"latitude","longitude"
"28.678051","77.314262"
"28.5045","77.012"
"22.59643333","88.39996667"
"23.1090018","72.57299832"
"18.95833333","72.83333333"
"28.7045","77.15366667"
"12.88326667","77.5594"
"28.7295","77.12866667"
"28.67571622","77.36149677"
"28.3501","77.31673333"
"28.59086667","77.3054"
"28.49553604","77.51297417"
"28.44176667","77.3084"
"28.48783333","77.09533333"
"12.93326667","77.61773333"
"13.00826667","77.64273333"
"28.4751","77.4334"
"26.85653333","75.71283333"
"26.8982","75.8295"
"18.54316667","73.914"
